Date,NSVCode,Site1,Quantity
07/07/2019,Drug A,Site C,0
08/07/2019,Drug A,Site C,0
09/07/2019,Drug A,Site C,0
10/07/2019,Drug A,Site C,0
11/07/2019,Drug A,Site C,0
12/07/2019,Drug A,Site C,266
13/07/2019,Drug A,Site C,0
14/07/2019,Drug A,Site C,0
15/07/2019,Drug A,Site C,56
16/07/2019,Drug A,Site C,84
17/07/2019,Drug A,Site C,168
18/07/2019,Drug A,Site C,0
19/07/2019,Drug A,Site C,0
20/07/2019,Drug A,Site C,0
21/07/2019,Drug A,Site C,0
22/07/2019,Drug A,Site C,112
23/07/2019,Drug A,Site C,0
24/07/2019,Drug A,Site C,448
25/07/2019,Drug A,Site C,0
26/07/2019,Drug A,Site C,0
27/07/2019,Drug A,Site C,0
28/07/2019,Drug A,Site C,0
29/07/2019,Drug A,Site C,700
30/07/2019,Drug A,Site C,0
31/07/2019,Drug A,Site C,140
01/08/2019,Drug A,Site C,0
02/08/2019,Drug A,Site C,28
03/08/2019,Drug A,Site C,0
04/08/2019,Drug A,Site C,0
